,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
285,6.0,Kosovo,RKS,914.0,,10078.689999999999,2021-01-08,0.0,3.0,2021-07-01,2021-01-05,EPI_THIRD_WAVE,33184.845,,,-33.0,-34.0,357.0,-35.0,-23.0,-33.0,-23.0,-33.0,-33.0,215.0,236.0,,,,
286,2.0,Romania,ROU,34262.0,19356544.0,29378.525,2020-03-25,8586098.5,1.0,2021-07-01,2020-02-26,EPI_FIRST_WAVE,30931.285000000003,17.70047380358808,4435.760071632622,-6.0,-14.0,,-17.0,-3.0,6.0,0.0,5.0,-4.0,433.0,215.0,-12.0,3.0,39.0,165.0
287,2.0,Russia,RUS,135886.0,144373535.0,26347.425000000003,2020-03-31,149287763.0,1.0,2021-07-01,2020-01-31,EPI_FIRST_WAVE,29650.534999999996,9.412112822478164,10340.382882499898,-14.0,-10.0,-1.0,-21.0,-1.0,,-26.0,-26.0,-1.0,6.0,-26.0,-26.0,-11.0,14.0,73.0
288,5.0,Rwanda,RWA,32.0,12626950.0,16454.49,2020-08-19,519903.75,1.0,2020-10-14,2020-03-15,EPI_THIRD_WAVE,37181.135,0.33816559026526594,1321.0620933796365,-151.0,-156.0,-151.0,-164.0,152.0,-151.0,-151.0,-151.0,-151.0,-151.0,-164.0,-133.0,-127.0,-55.0,245.0
289,5.0,Rwanda,RWA,328.0,12626950.0,15407.359999999993,2020-11-14,998458.25,2.0,2021-06-09,2020-10-14,EPI_THIRD_WAVE,37181.135,0.33816559026526594,1321.0620933796365,-151.0,-156.0,-151.0,-164.0,152.0,-151.0,-151.0,-151.0,-151.0,-151.0,-164.0,-133.0,-127.0,-55.0,245.0
290,5.0,Rwanda,RWA,0.0,12626950.0,4479.660000000001,2021-06-14,0.0,3.0,2021-09-19,2021-06-09,EPI_THIRD_WAVE,37181.135,0.33816559026526594,1321.0620933796365,-151.0,-156.0,-151.0,-164.0,152.0,-151.0,-151.0,-151.0,-151.0,-151.0,-164.0,-133.0,-127.0,-55.0,245.0
291,3.0,Saudi Arabia,SAU,6291.0,34268528.0,20653.295,2020-03-31,11455431.0,1.0,2021-01-11,2020-03-02,EPI_SECOND_WAVE,34012.0,2.2816853995012565,6422.4270152485105,-15.0,-22.0,,-18.0,26.0,-10.0,-8.0,-23.0,-16.0,57.0,-59.0,-24.0,-14.0,28.0,122.0
292,3.0,Saudi Arabia,SAU,0.0,34268528.0,12997.630000000001,2021-01-14,0.0,2.0,2021-09-19,2021-01-11,EPI_SECOND_WAVE,34012.0,2.2816853995012565,6422.4270152485105,-15.0,-22.0,,-18.0,26.0,-10.0,-8.0,-23.0,-16.0,57.0,-59.0,-24.0,-14.0,28.0,122.0
293,4.0,Sudan,SDN,836.0,42813238.0,16046.44,2020-04-19,0.0,1.0,2020-10-17,2020-03-14,EPI_SECOND_WAVE,26532.659999999996,0.6446604202186249,0.0,-27.0,-36.0,-1.0,-36.0,340.0,-24.0,-1.0,-6.0,-34.0,401.0,,,,,
294,4.0,Sudan,SDN,1924.0,42813238.0,9052.295,2020-11-05,0.0,2.0,2021-07-01,2020-10-17,EPI_SECOND_WAVE,26532.659999999996,0.6446604202186249,0.0,-27.0,-36.0,-1.0,-36.0,340.0,-24.0,-1.0,-6.0,-34.0,401.0,,,,,
295,4.0,Senegal,SEN,326.0,16296364.0,12631.07,2020-05-05,221857.25,1.0,2020-11-08,2020-03-02,EPI_SECOND_WAVE,22178.895,0.7154970274350769,353.6144627108231,-43.0,-50.0,,-52.0,-43.0,,-41.0,-43.0,-46.0,73.0,-60.0,-32.0,1.0,128.0,
296,4.0,Senegal,SEN,840.0,16296364.0,8073.945,2020-12-05,355199.0,2.0,2021-07-01,2020-11-08,EPI_SECOND_WAVE,22178.895,0.7154970274350769,353.6144627108231,-43.0,-50.0,,-52.0,-43.0,,-41.0,-43.0,-46.0,73.0,-60.0,-32.0,1.0,128.0,
297,2.0,Singapore,SGP,36.0,5703569.0,26721.254999999997,2020-04-15,0.0,1.0,2021-07-01,2020-01-24,EPI_FIRST_WAVE,30685.59,0.06311837377613912,0.0,-7.0,-7.0,-8.0,-33.0,243.0,,-7.0,-7.0,,251.0,-86.0,,,,
298,3.0,Sierra Leone,SLE,79.0,7813215.0,16747.770000000004,2020-05-06,0.0,1.0,2021-03-26,2020-04-01,EPI_SECOND_WAVE,25265.025,0.1279882865120184,0.0,-31.0,-36.0,-31.0,-45.0,-31.0,,-31.0,-31.0,-39.0,310.0,-36.0,,,,
299,3.0,Sierra Leone,SLE,0.0,7813215.0,8020.93,2021-06-27,0.0,2.0,2021-09-19,2021-03-26,EPI_SECOND_WAVE,25265.025,0.1279882865120184,0.0,-31.0,-36.0,-31.0,-45.0,-31.0,,-31.0,-31.0,-39.0,310.0,-36.0,,,,
300,5.0,El Salvador,SLV,808.0,6453553.0,16709.574999999997,2020-05-02,364865.0,1.0,2020-09-20,2020-03-19,EPI_THIRD_WAVE,31614.045,3.689440529891054,1393.533918447714,-45.0,-52.0,-42.0,-42.0,-11.0,5.0,-42.0,-45.0,-51.0,-8.0,,-24.0,-13.0,20.0,254.0
301,5.0,El Salvador,SLV,1221.0,6453553.0,9519.065000000002,2020-09-24,499537.0,2.0,2021-04-05,2020-09-20,EPI_THIRD_WAVE,31614.045,3.689440529891054,1393.533918447714,-45.0,-52.0,-42.0,-42.0,-11.0,5.0,-42.0,-45.0,-51.0,-8.0,,-24.0,-13.0,20.0,254.0
302,5.0,El Salvador,SLV,0.0,6453553.0,4097.1849999999995,2021-04-08,0.0,3.0,2021-09-19,2021-04-05,EPI_THIRD_WAVE,31614.045,3.689440529891054,1393.533918447714,-45.0,-52.0,-42.0,-42.0,-11.0,5.0,-42.0,-45.0,-51.0,-8.0,,-24.0,-13.0,20.0,254.0
303,4.0,Somalia,SOM,130.0,15442905.0,12376.035,2020-04-22,0.0,1.0,2021-01-14,2020-03-16,EPI_SECOND_WAVE,18534.545,0.5018485835404672,0.0,-11.0,-32.0,,-34.0,156.0,,142.0,130.0,-35.0,398.0,,,,,
304,4.0,Somalia,SOM,645.0,15442905.0,4903.325,2021-02-12,0.0,2.0,2021-07-01,2021-01-14,EPI_SECOND_WAVE,18534.545,0.5018485835404672,0.0,-11.0,-32.0,,-34.0,156.0,,142.0,130.0,-35.0,398.0,,,,,
305,8.0,Serbia,SRB,247.0,6944975.0,7058.795000000002,2020-03-29,269135.3333333334,1.0,2020-06-06,2020-03-06,EPI_FOURTH_WAVE,30145.235,10.146904776475077,6356.354054550232,-13.0,-13.0,-8.0,-14.0,-14.0,-8.0,-14.0,-11.0,-13.0,54.0,-23.0,-7.0,7.0,30.0,128.0
306,8.0,Serbia,SRB,503.0,6944975.0,5607.0650000000005,2020-06-18,874317.0,2.0,2020-10-01,2020-06-06,EPI_FOURTH_WAVE,30145.235,10.146904776475077,6356.354054550232,-13.0,-13.0,-8.0,-14.0,-14.0,-8.0,-14.0,-11.0,-13.0,54.0,-23.0,-7.0,7.0,30.0,128.0
307,8.0,Serbia,SRB,3234.0,6944975.0,6902.085000000001,2020-10-09,1475341.0,3.0,2021-01-30,2020-10-01,EPI_FOURTH_WAVE,30145.235,10.146904776475077,6356.354054550232,-13.0,-13.0,-8.0,-14.0,-14.0,-8.0,-14.0,-11.0,-13.0,54.0,-23.0,-7.0,7.0,30.0,128.0
308,4.0,South Sudan,SSD,49.0,11062113.0,11337.825,2020-05-29,0.0,1.0,2020-08-23,2020-04-06,EPI_SECOND_WAVE,31781.64,0.1057664118961721,145.86363382836535,-65.0,-70.0,-62.0,-74.0,250.0,0.0,-41.0,-47.0,-66.0,,-22.0,97.0,97.0,276.0,
309,4.0,South Sudan,SSD,74.0,11062113.0,17536.77,2020-10-29,161356.0,2.0,2021-07-01,2020-08-23,EPI_SECOND_WAVE,31781.64,0.1057664118961721,145.86363382836535,-65.0,-70.0,-62.0,-74.0,250.0,0.0,-41.0,-47.0,-66.0,,-22.0,97.0,97.0,276.0,
310,5.0,Suriname,SUR,117.0,581372.0,20110.639999999996,2020-06-26,0.0,1.0,2020-12-10,2020-03-15,EPI_THIRD_WAVE,40809.69500000001,8.875556442346724,0.0,-90.0,-102.0,-22.0,-105.0,-90.0,-81.0,-90.0,-102.0,-104.0,324.0,,,,,
311,5.0,Suriname,SUR,60.0,581372.0,7239.665000000001,2021-01-09,0.0,2.0,2021-03-29,2020-12-10,EPI_THIRD_WAVE,40809.69500000001,8.875556442346724,0.0,-90.0,-102.0,-22.0,-105.0,-90.0,-81.0,-90.0,-102.0,-104.0,324.0,,,,,
312,5.0,Suriname,SUR,0.0,581372.0,13398.285000000003,2021-04-18,0.0,3.0,2021-09-19,2021-03-29,EPI_THIRD_WAVE,40809.69500000001,8.875556442346724,0.0,-90.0,-102.0,-22.0,-105.0,-90.0,-81.0,-90.0,-102.0,-104.0,324.0,,,,,
313,4.0,Slovakia,SVK,28.0,5454073.0,6693.594999999998,2020-04-20,194733.0,1.0,2020-06-11,2020-03-06,EPI_SECOND_WAVE,31226.95,22.938820217477836,73624.25658769143,-37.0,-35.0,185.0,-41.0,-12.0,,-12.0,-12.0,-38.0,137.0,-110.0,-42.0,-25.0,2.0,173.0
314,4.0,Slovakia,SVK,12483.0,5454073.0,21547.695,2020-09-14,39961736.0,2.0,2021-07-01,2020-06-11,EPI_SECOND_WAVE,31226.95,22.938820217477836,73624.25658769143,-37.0,-35.0,185.0,-41.0,-12.0,,-12.0,-12.0,-38.0,137.0,-110.0,-42.0,-25.0,2.0,173.0
315,2.0,Slovenia,SVN,4753.0,2087946.0,28345.589999999997,2020-03-28,1348806.0,1.0,2021-07-01,2020-03-04,EPI_FIRST_WAVE,30697.704999999998,22.763998685789765,6461.896045204234,-9.0,-12.0,-8.0,-9.0,-9.0,-12.0,323.0,2.0,,315.0,-24.0,-27.0,-17.0,1.0,179.0
316,4.0,Sweden,SWE,5839.0,10285453.0,10573.91,2020-03-20,568638.0,1.0,2020-09-06,2020-01-31,EPI_SECOND_WAVE,32343.21,14.248278612521977,10144.20366317361,15.0,,,-8.0,249.0,,,,,,-49.0,,,,
317,4.0,Sweden,SWE,8816.0,10285453.0,18865.445,2020-09-13,9883162.0,2.0,2021-07-01,2020-09-06,EPI_SECOND_WAVE,32343.21,14.248278612521977,10144.20366317361,15.0,,,-8.0,249.0,,,,,,-49.0,,,,
318,4.0,Swaziland,SWZ,119.0,1148130.0,17352.345,2020-06-29,0.0,1.0,2020-11-03,2020-03-14,EPI_SECOND_WAVE,36732.350000000006,5.9052546314441745,0.0,-94.0,-104.0,,-104.0,192.0,-94.0,-94.0,-94.0,-94.0,365.0,-108.0,,,,
319,4.0,Swaziland,SWZ,563.0,1148130.0,14252.280000000002,2020-12-13,0.0,2.0,2021-07-01,2020-11-03,EPI_SECOND_WAVE,36732.350000000006,5.9052546314441745,0.0,-94.0,-104.0,,-104.0,192.0,-94.0,-94.0,-94.0,-94.0,365.0,-108.0,,,,
320,4.0,Syria,SYR,1004.0,17070135.0,20120.589999999997,2020-07-04,0.0,1.0,2021-02-24,2020-03-23,EPI_SECOND_WAVE,29375.309999999998,1.098995409233729,0.0,-110.0,-112.0,-103.0,-110.0,,-103.0,-101.0,-101.0,,,,,,,
321,4.0,Syria,SYR,875.0,17070135.0,6004.089999999998,2021-02-26,0.0,2.0,2021-07-01,2021-02-24,EPI_SECOND_WAVE,29375.309999999998,1.098995409233729,0.0,-110.0,-112.0,-103.0,-110.0,,-103.0,-101.0,-101.0,,,,,,,
322,2.0,Togo,TGO,129.0,8082366.0,25731.775,2020-05-09,363458.5,1.0,2021-07-01,2020-03-07,EPI_FIRST_WAVE,29229.545,0.15960672901969547,449.7000012125162,-50.0,-50.0,,-54.0,,,-37.0,-49.0,-50.0,451.0,17.0,-36.0,-4.0,132.0,
323,3.0,Thailand,THA,205.0,69625582.0,20408.7,2020-03-31,2956676.0,1.0,2021-03-11,2020-01-13,EPI_SECOND_WAVE,31108.715,0.29874077031054475,1230.3736290491618,-5.0,-13.0,3.0,-21.0,329.0,,291.0,-5.0,-6.0,518.0,14.0,-33.0,3.0,104.0,430.0
324,3.0,Thailand,THA,0.0,69625582.0,10700.015000000001,2021-04-03,0.0,2.0,2021-09-19,2021-03-11,EPI_SECOND_WAVE,31108.715,0.29874077031054475,1230.3736290491618,-5.0,-13.0,3.0,-21.0,329.0,,291.0,-5.0,-6.0,518.0,14.0,-33.0,3.0,104.0,430.0
325,2.0,Tajikistan,TJK,91.0,9321018.0,17495.490000000005,2020-05-08,0.0,1.0,2021-07-01,2020-05-01,EPI_FIRST_WAVE,21368.345,0.09762882122961247,0.0,26.0,,,-20.0,,26.0,1.0,38.0,-28.0,,,,,,
326,2.0,Timor-Leste,TLS,24.0,1293119.0,22872.320000000003,2021-05-16,0.0,1.0,2021-07-01,2020-03-20,EPI_FIRST_WAVE,27952.11,0.18559776787751167,0.0,-414.0,-419.0,-64.0,-414.0,-414.0,-414.0,-180.0,-89.0,-398.0,-269.0,-439.0,,,,
327,3.0,Trinidad and Tobago,TTO,140.0,1394973.0,25881.92,2020-08-16,102014.0,1.0,2021-03-11,2020-03-13,EPI_SECOND_WAVE,39869.174999999996,5.971441741166316,1740.599997275933,-146.0,-155.0,-139.0,-148.0,-138.0,288.0,-139.0,-111.0,-146.0,,-156.0,-102.0,-102.0,3.0,264.0
328,3.0,Trinidad and Tobago,TTO,0.0,1394973.0,13465.949999999999,2021-04-17,0.0,2.0,2021-09-19,2021-03-11,EPI_SECOND_WAVE,39869.174999999996,5.971441741166316,1740.599997275933,-146.0,-155.0,-139.0,-148.0,-138.0,288.0,-139.0,-111.0,-146.0,,-156.0,-102.0,-102.0,3.0,264.0
329,3.0,Tunisia,TUN,8610.0,11694719.0,22247.64,2020-04-01,0.0,1.0,2021-03-24,2020-03-02,EPI_SECOND_WAVE,34027.47499999999,12.791243637405909,501.9770034662654,-12.0,-20.0,-10.0,-19.0,-12.0,299.0,-12.0,-12.0,-16.0,477.0,36.0,366.0,366.0,366.0,375.0
330,3.0,Tunisia,TUN,0.0,11694719.0,11779.835,2021-03-25,0.0,2.0,2021-09-19,2021-03-24,EPI_SECOND_WAVE,34027.47499999999,12.791243637405909,501.9770034662654,-12.0,-20.0,-10.0,-19.0,-12.0,299.0,-12.0,-12.0,-16.0,477.0,36.0,366.0,366.0,366.0,375.0
331,6.0,Turkey,TUR,5630.0,83429615.0,9322.06,2020-03-22,4625093.0,1.0,2020-07-28,2020-03-11,EPI_THIRD_WAVE,35751.785,5.96095283431429,7281.189659091679,-1.0,-6.0,400.0,-6.0,174.0,299.0,-1.0,6.0,5.0,,28.0,6.0,11.0,35.0,174.0
332,6.0,Turkey,TUR,20252.0,83429615.0,11768.769999999999,2020-07-29,25013451.0,2.0,2021-01-31,2020-07-28,EPI_THIRD_WAVE,35751.785,5.96095283431429,7281.189659091679,-1.0,-6.0,400.0,-6.0,174.0,299.0,-1.0,6.0,5.0,,28.0,6.0,11.0,35.0,174.0
333,6.0,Turkey,TUR,23996.0,83429615.0,10949.930000000002,2021-02-01,31291971.0,3.0,2021-07-01,2021-01-31,EPI_THIRD_WAVE,35751.785,5.96095283431429,7281.189659091679,-1.0,-6.0,400.0,-6.0,174.0,299.0,-1.0,6.0,5.0,,28.0,6.0,11.0,35.0,174.0
334,3.0,Uganda,UGA,334.0,44269594.0,25074.61,2020-08-14,839574.5,1.0,2021-03-17,2020-03-21,EPI_SECOND_WAVE,37407.05,0.231084116109129,290.3365230772164,-142.0,-147.0,-142.0,-149.0,-137.0,-142.0,-137.0,-137.0,-53.0,253.0,-4.0,-125.0,-106.0,34.0,
335,3.0,Uganda,UGA,0.0,44269594.0,11379.510000000002,2021-05-07,0.0,2.0,2021-09-19,2021-03-17,EPI_SECOND_WAVE,37407.05,0.231084116109129,290.3365230772164,-142.0,-147.0,-142.0,-149.0,-137.0,-142.0,-137.0,-137.0,-53.0,253.0,-4.0,-125.0,-106.0,34.0,
336,4.0,Ukraine,UKR,24174.0,44385155.0,21912.22,2020-03-30,7004541.5,1.0,2021-02-12,2020-03-03,EPI_SECOND_WAVE,34245.985,11.803721311776426,2560.367086698244,-14.0,-18.0,355.0,-18.0,-13.0,-12.0,,-18.0,-14.0,171.0,38.0,11.0,18.0,72.0,243.0
337,4.0,Ukraine,UKR,28333.0,44385155.0,8393.65,2021-02-13,4385522.5,2.0,2021-07-01,2021-02-12,EPI_SECOND_WAVE,34245.985,11.803721311776426,2560.367086698244,-14.0,-18.0,355.0,-18.0,-13.0,-12.0,,-18.0,-14.0,171.0,38.0,11.0,18.0,72.0,243.0
338,4.0,United States,USA,109076.0,328239523.0,6534.24,2020-03-05,22452063.0,1.0,2020-06-06,2020-01-20,EPI_SECOND_WAVE,31692.839999999997,18.261420639463942,14344.494096769693,14.0,14.0,,14.0,22.0,37.0,,,,223.0,139.0,8.0,16.0,37.0,111.0
339,4.0,United States,USA,491236.0,328239523.0,22711.22,2020-06-07,448855197.0,2.0,2021-07-01,2020-06-06,EPI_SECOND_WAVE,31692.839999999997,18.261420639463942,14344.494096769693,14.0,14.0,,14.0,22.0,37.0,,,,223.0,139.0,8.0,16.0,37.0,111.0
340,3.0,Uzbekistan,UZB,622.0,33580650.0,20116.005,2020-05-04,0.0,1.0,2021-02-27,2020-03-16,EPI_SECOND_WAVE,30585.04,0.22036500186863567,0.0,-49.0,-49.0,-44.0,-49.0,-6.0,-49.0,-38.0,-41.0,-49.0,413.0,-50.0,,,,
341,3.0,Uzbekistan,UZB,0.0,33580650.0,9744.490000000002,2021-04-06,0.0,2.0,2021-09-19,2021-02-27,EPI_SECOND_WAVE,30585.04,0.22036500186863567,0.0,-49.0,-49.0,-44.0,-49.0,-6.0,-49.0,-38.0,-41.0,-49.0,413.0,-50.0,,,,
342,3.0,Venezuela,VEN,1042.0,28515829.0,25203.48,2020-04-22,0.0,1.0,2021-01-07,2020-03-14,EPI_SECOND_WAVE,44560.979999999996,1.0874661928993894,0.0,-37.0,-37.0,-37.0,-41.0,21.0,61.0,-40.0,-40.0,-35.0,16.0,,,,,
343,3.0,Venezuela,VEN,0.0,28515829.0,19101.965,2021-01-09,0.0,2.0,2021-09-19,2021-01-07,EPI_SECOND_WAVE,44560.979999999996,1.0874661928993894,0.0,-37.0,-37.0,-37.0,-41.0,21.0,61.0,-40.0,-40.0,-35.0,16.0,,,,,
344,2.0,Yemen,YEM,1361.0,29161922.0,15152.24,2020-05-12,0.0,1.0,2021-07-01,2020-04-10,EPI_FIRST_WAVE,16778.120000000003,0.4667044922484876,0.0,,-58.0,,-56.0,,,-11.0,-12.0,-55.0,,,,,,
345,5.0,South Africa,ZAF,17103.0,58558270.0,15813.85,2020-04-06,4346107.25,1.0,2020-10-08,2020-03-05,EPI_THIRD_WAVE,33190.665,10.356692573055863,2260.5514131479636,-11.0,-19.0,-11.0,-21.0,134.0,,-11.0,-11.0,-11.0,25.0,-30.0,-17.0,1.0,49.0,251.0
346,5.0,South Africa,ZAF,36219.0,58558270.0,9266.645,2020-10-09,5933860.5,2.0,2021-04-12,2020-10-08,EPI_THIRD_WAVE,33190.665,10.356692573055863,2260.5514131479636,-11.0,-19.0,-11.0,-21.0,134.0,,-11.0,-11.0,-11.0,25.0,-30.0,-17.0,1.0,49.0,251.0
347,5.0,South Africa,ZAF,0.0,58558270.0,7986.465000000001,2021-04-13,0.0,3.0,2021-09-19,2021-04-12,EPI_THIRD_WAVE,33190.665,10.356692573055863,2260.5514131479636,-11.0,-19.0,-11.0,-21.0,134.0,,-11.0,-11.0,-11.0,25.0,-30.0,-17.0,1.0,49.0,251.0
348,5.0,Zambia,ZMB,357.0,17861030.0,12524.229999999998,2020-06-09,422507.0,1.0,2020-12-04,2020-03-18,EPI_THIRD_WAVE,25223.01,1.231171998479371,1051.8659898113378,-55.0,-81.0,-38.0,-55.0,-55.0,374.0,-55.0,-56.0,-74.0,160.0,-75.0,-55.0,-22.0,122.0,378.0
349,5.0,Zambia,ZMB,906.0,17861030.0,6874.52,2020-12-14,1076782.0,2.0,2021-05-19,2020-12-04,EPI_THIRD_WAVE,25223.01,1.231171998479371,1051.8659898113378,-55.0,-81.0,-38.0,-55.0,-55.0,374.0,-55.0,-56.0,-74.0,160.0,-75.0,-55.0,-22.0,122.0,378.0
350,5.0,Zambia,ZMB,0.0,17861030.0,5382.505000000001,2021-05-27,0.0,3.0,2021-09-19,2021-05-19,EPI_THIRD_WAVE,25223.01,1.231171998479371,1051.8659898113378,-55.0,-81.0,-38.0,-55.0,-55.0,374.0,-55.0,-56.0,-74.0,160.0,-75.0,-55.0,-22.0,122.0,378.0
351,7.0,Zimbabwe,ZWE,230.0,14645468.0,15608.830000000002,2020-07-10,115426.0,1.0,2020-10-04,2020-03-20,EPI_FOURTH_WAVE,39117.92999999999,1.2215382943037396,441.878675369063,-105.0,-108.0,-102.0,-115.0,179.0,192.0,-102.0,-102.0,-109.0,221.0,,-64.0,-50.0,120.0,
352,7.0,Zimbabwe,ZWE,1303.0,14645468.0,13285.665,2020-10-27,329462.0,2.0,2021-04-08,2020-10-04,EPI_FOURTH_WAVE,39117.92999999999,1.2215382943037396,441.878675369063,-105.0,-108.0,-102.0,-115.0,179.0,192.0,-102.0,-102.0,-109.0,221.0,,-64.0,-50.0,120.0,
353,7.0,Zimbabwe,ZWE,54.0,14645468.0,2245.3799999999997,2021-04-13,85037.0,3.0,2021-05-21,2021-04-08,EPI_FOURTH_WAVE,39117.92999999999,1.2215382943037396,441.878675369063,-105.0,-108.0,-102.0,-115.0,179.0,192.0,-102.0,-102.0,-109.0,221.0,,-64.0,-50.0,120.0,
